event_date,title,n
20201210,The Google Merchandise Store - My Account,423
20201218,New | Google Merchandise Store,423
20201123,YouTube | Shop by Brand | Google Merchandise Store,422
20210118,Google Dino Game Tee,422
20210105,The Google Merchandise Store - Log In,422
20210119,New | Google Merchandise Store,420
20210128,Sale | Google Merchandise Store,419
20210125,Men's / Unisex | Apparel | Google Merchandise Store,419
20201120,YouTube | Shop by Brand | Google Merchandise Store,419
20201129,YouTube | Shop by Brand | Google Merchandise Store,418
20201215,Checkout Your Information,416
20201216,Checkout Your Information,416
20201202,YouTube | Shop by Brand | Google Merchandise Store,416
20201119,Apparel | Google Merchandise Store,416
20201212,Sale | Google Merchandise Store,414
20201204,Drinkware | Lifestyle | Google Merchandise Store,414
20201101,Page Unavailable,413
20210131,Shopping Cart,412
20210105,Men's / Unisex | Apparel | Google Merchandise Store,412
20210115,Men's / Unisex | Apparel | Google Merchandise Store,412
20201207,Store search results,412
20201215,Drinkware | Lifestyle | Google Merchandise Store,412
20201120,Apparel | Google Merchandise Store,411
20201218,Store search results,410
20201208,Bags | Lifestyle | Google Merchandise Store,409
20201210,Campus Collection | Google Merchandise Store,409
20201108,The Google Merchandise Store - Log In,409
20201125,New | Google Merchandise Store,407
20201203,YouTube | Shop by Brand | Google Merchandise Store,406
20201103,Apparel | Google Merchandise Store,406
20201206,Men's / Unisex | Apparel | Google Merchandise Store,406
20201208,Eco-Friendly | Google Merchandise Store,405
20201225,Google Online Store,405
20201117,New | Google Merchandise Store,404
20201223,Sale | Google Merchandise Store,404
20201130,Store search results,403
20201219,Men's / Unisex | Apparel | Google Merchandise Store,403
20210126,The Google Merchandise Store - Log In,403
20201230,Shopping Cart,403
20201210,Store search results,403
20201120,New | Google Merchandise Store,402
20210108,Men's / Unisex | Apparel | Google Merchandise Store,401
20201211,Womens | Apparel | Google Merchandise Store,401
20201209,Womens | Apparel | Google Merchandise Store,401
20201228,Men's / Unisex | Apparel | Google Merchandise Store,400
20201124,Store search results,400
20210108,The Google Merchandise Store - Log In,400
20201110,New | Google Merchandise Store,399
20201205,Sale | Google Merchandise Store,398
20210107,The Google Merchandise Store - Log In,398
20201210,Hats | Apparel | Google Merchandise Store,398
20201214,Drinkware | Lifestyle | Google Merchandise Store,397
20201222,YouTube | Shop by Brand | Google Merchandise Store,397
20210116,Shopping Cart,397
20210109,Google Dino Game Tee,396
20201118,New | Google Merchandise Store,395
20210119,The Google Merchandise Store - Log In,395
20210126,Page Unavailable,395
20201219,The Google Merchandise Store - Log In,392
20210125,The Google Merchandise Store - Log In,392
20201117,Apparel | Google Merchandise Store,392
20201222,Google Dino Game Tee,392
20201119,Store search results,392
20201208,Womens | Apparel | Google Merchandise Store,392
20201216,Womens | Apparel | Google Merchandise Store,391
20201203,Checkout Your Information,391
20201219,YouTube | Shop by Brand | Google Merchandise Store,390
20201202,Checkout Your Information,390
20201209,Payment Method,389
20201123,Apparel | Google Merchandise Store,389
20201215,Bags | Lifestyle | Google Merchandise Store,389
20210112,The Google Merchandise Store - Log In,389
20201110,Apparel | Google Merchandise Store,388
20210104,Shopping Cart,388
20201123,New | Google Merchandise Store,388
20201205,YouTube | Shop by Brand | Google Merchandise Store,388
20201125,Checkout Your Information,387
20201109,Sale | Google Merchandise Store,387
20201202,Drinkware | Lifestyle | Google Merchandise Store,386
20201215,Store search results,385
20201211,The Google Merchandise Store - My Account,385
20201129,Men's / Unisex | Apparel | Google Merchandise Store,384
20201125,YouTube | Shop by Brand | Google Merchandise Store,384
20201209,Drinkware | Lifestyle | Google Merchandise Store,383
20210118,Shopping Cart,383
20201203,Bags | Lifestyle | Google Merchandise Store,382
20201207,Drinkware | Lifestyle | Google Merchandise Store,382
20201118,Store search results,381
20201207,Campus Collection | Google Merchandise Store,381
20201211,Store search results,380
20201105,New | Google Merchandise Store,380
20201208,Hats | Apparel | Google Merchandise Store,380
20201212,Store search results,380
20201201,Checkout Your Information,379
20201117,Hats | Apparel | Google Merchandise Store,379
20201212,Google Dino Game Tee,379
20210128,Google Dino Game Tee,378
20201203,Eco-Friendly | Google Merchandise Store,378
20210114,The Google Merchandise Store - Log In,378
20201213,Store search results,377
20210126,Sale | Google Merchandise Store,376
20201201,Campus Collection | Google Merchandise Store,376
20201215,Campus Collection | Google Merchandise Store,376
20201210,Payment Method,376
20201216,Payment Method,375
20210107,Men's / Unisex | Apparel | Google Merchandise Store,375
20201203,Drinkware | Lifestyle | Google Merchandise Store,375
20210113,The Google Merchandise Store - Log In,375
20201217,Drinkware | Lifestyle | Google Merchandise Store,375
20210121,Store search results,375
20201112,Apparel | Google Merchandise Store,374
20201215,Womens | Apparel | Google Merchandise Store,373
20201203,Campus Collection | Google Merchandise Store,373
20210120,Campus Collection | Google Merchandise Store,373
20210109,Shopping Cart,373
20201118,Apparel | Google Merchandise Store,373
20201211,Drinkware | Lifestyle | Google Merchandise Store,372
20210121,Google Pride Sticker,372
